experiment_time_s,latitude,longitude,height_m,speed_m_s,horizontal_accuracy_m
115.514,37.52312435,127.01423850,15.85,4.584,9.78
116.514,37.52308687,127.01421040,16.39,4.666,9.56
117.514,37.52305949,127.01417970,16.53,4.522,9.39
118.514,37.52302699,127.01414910,16.40,4.594,9.25
119.514,37.52299396,127.01412550,15.82,4.504,9.14
120.514,37.52296083,127.01409210,15.92,4.683,9.04
121.514,37.52292892,127.01406810,16.02,4.582,8.96
122.514,37.52289428,127.01403630,15.91,4.680,8.89
123.514,37.52286089,127.01401150,15.89,4.591,8.83
124.514,37.52282576,127.01398770,16.16,4.710,8.78
125.514,37.52279239,127.01396370,16.17,4.483,8.73
126.514,37.52275873,127.01393180,16.21,4.642,8.69
127.514,37.52272078,127.01390620,16.24,4.946,8.66
128.514,37.52269320,127.01387710,16.24,4.278,8.62
129.514,37.52265347,127.01384860,16.63,4.881,8.59
130.514,37.52261757,127.01382950,16.72,4.221,8.56
131.514,37.52258170,127.01379390,16.68,4.549,8.54
132.514,37.52254818,127.01374490,16.46,4.603,8.51
133.514,37.52252060,127.01373170,16.68,4.293,8.48
134.514,37.52249485,127.01369610,16.82,4.391,8.46
135.514,37.52245511,127.01368930,16.53,4.018,8.44
136.514,37.52241342,127.01367820,16.49,4.384,8.41
137.514,37.52237174,127.01363810,15.91,4.473,8.39
138.514,37.52235900,127.01360270,15.90,3.759,8.37
139.514,37.52233383,127.01358020,16.16,3.495,8.36
140.514,37.52229899,127.01353840,16.08,4.144,8.36
141.514,37.52226913,127.01350010,15.97,4.291,8.35
142.514,37.52224024,127.01346720,15.67,4.432,8.33
143.514,37.52220801,127.01343940,15.48,4.648,8.31
144.514,37.52218149,127.01341450,15.06,4.368,8.30
145.514,37.52214846,127.01339410,15.80,4.480,8.28
146.514,37.52213469,127.01338940,15.84,2.599,8.27
147.514,37.52211782,127.01337020,15.50,2.258,8.29
148.514,37.52208600,127.01335600,16.03,2.591,8.27
149.514,37.52203584,127.01332440,15.80,3.903,8.26
150.514,37.52198101,127.01327150,15.97,5.111,8.24
151.514,37.52195180,127.01323250,15.93,4.306,8.22
152.514,37.52194134,127.01320870,14.02,2.604,8.21
153.514,37.52192447,127.01318210,14.03,2.509,8.19
154.514,37.52188836,127.01313420,14.35,3.873,8.18
155.514,37.52184402,127.01307860,13.91,5.288,8.17
156.514,37.52181247,127.01305260,14.32,4.909,8.16
157.514,37.52178735,127.01302820,13.53,4.275,8.16
158.514,37.52175931,127.01299360,13.47,3.970,8.15
159.514,37.52174009,127.01295730,13.81,3.855,8.14
160.514,37.52171889,127.01293350,13.57,3.405,8.13
161.514,37.52168803,127.01290890,13.33,3.401,8.13
162.514,37.52165152,127.01287820,12.94,4.074,8.12
163.514,37.52162290,127.01285140,12.91,4.069,8.18
164.514,37.52159698,127.01282030,13.09,4.188,8.17
165.514,37.52156828,127.01279190,13.61,4.196,8.16
166.514,37.52155533,127.01276890,13.99,3.500,8.16
167.514,37.52153852,127.01273590,12.94,3.318,8.15
168.514,37.52151219,127.01272500,13.60,2.839,8.14
169.514,37.52148787,127.01270270,13.32,2.713,8.31
170.514,37.52145894,127.01267140,13.39,3.340,8.29
171.514,37.52143175,127.01264040,13.85,3.891,8.28
172.514,37.52142132,127.01260460,14.58,3.793,8.27
173.514,37.52139001,127.01259520,15.45,3.359,8.25
174.514,37.52136038,127.01256350,15.68,3.837,8.24
175.515,37.52133398,127.01255860,14.33,3.039,8.23
176.515,37.52130678,127.01253890,13.17,3.004,8.22
177.515,37.52128135,127.01250780,15.27,3.587,8.21
178.515,37.52125025,127.01247790,16.02,3.887,8.20
179.515,37.52122189,127.01244600,16.77,4.382,8.19
180.515,37.52119404,127.01242800,16.12,4.048,8.18
181.515,37.52116943,127.01240070,15.72,3.814,8.17
182.515,37.52113712,127.01237050,15.98,4.329,8.16
183.515,37.52111594,127.01233270,16.42,4.168,8.15
184.515,37.52108451,127.01231400,16.24,3.961,8.14
185.515,37.52105295,127.01228680,15.36,4.108,8.14
186.515,37.52102644,127.01226760,16.14,3.380,8.13
187.515,37.52098908,127.01224310,15.71,4.006,8.12
188.515,37.52095858,127.01221240,15.53,4.074,8.12
189.515,37.52093149,127.01218000,15.66,4.201,8.11
190.515,37.52089906,127.01215600,15.55,4.214,8.11
191.515,37.52087049,127.01213140,15.66,4.030,8.10
192.515,37.52083599,127.01210250,15.82,4.215,8.10
193.515,37.52080048,127.01207950,15.41,4.389,8.09
194.515,37.52077595,127.01205280,15.62,4.091,8.09
195.515,37.52074295,127.01203030,15.53,3.933,8.08
196.515,37.52071740,127.01200200,14.64,3.758,8.08
197.515,37.52068464,127.01196090,14.72,4.382,8.07
198.515,37.52064925,127.01194060,14.53,4.156,8.07
199.515,37.52062495,127.01191420,15.03,3.574,8.07
200.515,37.52059993,127.01187700,15.32,3.752,8.06
201.515,37.52056727,127.01184950,15.23,3.999,8.06
202.515,37.52053962,127.01182520,15.57,3.720,8.06
203.515,37.52051726,127.01178480,15.53,3.973,8.05
204.515,37.52049350,127.01176590,15.40,3.335,8.05
205.515,37.52045815,127.01173510,15.63,4.092,8.05
206.515,37.52043255,127.01170950,15.79,3.749,8.05
207.515,37.52040036,127.01168750,15.17,3.915,8.04
208.515,37.52037258,127.01166390,15.18,3.797,8.04
209.515,37.52035062,127.01163650,15.01,3.464,8.04
210.515,37.52033411,127.01159780,14.95,3.499,8.04
211.515,37.52031496,127.01156470,14.96,3.451,8.04
212.515,37.52028961,127.01153280,15.22,3.601,8.03
213.515,37.52026316,127.01150720,15.53,3.570,8.03
214.515,37.52022921,127.01150720,15.32,3.608,8.03
215.515,37.52019730,127.01150720,15.60,3.556,8.03
216.515,37.52017689,127.01151250,15.56,3.187,8.03
217.515,37.52017689,127.01154590,15.81,2.760,8.03
218.515,37.52017689,127.01157950,16.00,2.408,8.03
219.515,37.52020396,127.01160400,16.12,2.656,8.02
220.515,37.52023507,127.01162050,16.25,3.064,8.02
221.515,37.52026913,127.01162210,16.12,3.243,8.02
222.515,37.52030891,127.01162540,15.90,3.760,8.02
223.515,37.52032292,127.01164870,17.75,3.053,8.02
224.515,37.52035473,127.01166370,17.42,3.481,8.02
225.515,37.52038275,127.01168600,18.08,3.585,8.02
226.515,37.52041037,127.01171220,17.70,3.692,8.02
227.515,37.52043741,127.01173750,17.56,3.720,8.02
228.515,37.52046447,127.01176680,17.62,3.857,8.02
229.515,37.52049288,127.01179240,17.53,3.876,8.01
230.515,37.52052026,127.01181980,17.43,3.878,8.01
231.515,37.52054863,127.01184670,17.58,3.909,8.01
232.515,37.52057713,127.01187240,17.59,3.894,8.01
233.515,37.52060765,127.01189580,17.50,3.929,8.01
234.515,37.52063812,127.01191960,17.56,3.953,8.01
235.515,37.52066724,127.01194150,17.59,3.848,8.01
236.515,37.52069674,127.01196530,17.51,3.888,8.01
237.515,37.52072610,127.01199260,17.52,3.994,8.01
238.515,37.52075743,127.01201830,17.32,4.101,8.01
239.515,37.52078648,127.01203990,17.45,3.907,8.01
240.515,37.52081746,127.01206250,17.46,3.946,8.01
241.515,37.52084675,127.01208760,17.42,3.942,8.01
242.515,37.52087535,127.01211520,17.45,3.982,8.01
243.515,37.52090310,127.01214240,17.40,3.936,8.01
244.515,37.52092976,127.01217150,17.37,3.921,8.01
245.515,37.52095583,127.01220240,17.37,3.940,8.01
246.515,37.52098294,127.01223200,17.35,3.973,8.01
247.515,37.52100946,127.01226090,17.26,3.921,8.01
248.515,37.52103948,127.01228830,17.26,4.040,8.01
249.515,37.52106461,127.01231800,17.24,3.912,8.01
250.515,37.52109774,127.01234560,17.10,4.244,8.00
251.515,37.52112544,127.01236890,17.24,3.905,8.00
252.515,37.52115678,127.01239460,17.26,4.019,8.00
253.515,37.52118806,127.01241890,17.13,4.052,8.00
254.515,37.52121921,127.01244150,17.10,4.018,8.00
255.515,37.52124922,127.01246570,17.09,3.976,8.00
256.515,37.52127861,127.01249100,17.20,3.948,8.00
257.515,37.52130554,127.01251490,17.08,3.826,8.00
258.515,37.52133471,127.01253950,17.15,3.844,8.00
259.515,37.52136207,127.01256750,17.04,3.886,8.00
260.515,37.52138897,127.01259520,16.74,3.846,8.00
261.515,37.52141421,127.01262650,16.74,3.861,8.00
262.515,37.52144052,127.01265200,16.77,3.702,8.00
263.515,37.52146595,127.01268220,16.65,3.823,8.00
264.515,37.52148918,127.01270960,16.54,3.647,8.00
265.515,37.52151267,127.01274190,16.61,3.723,8.00
266.515,37.52153319,127.01277080,16.70,3.536,8.00
267.515,37.52155669,127.01280340,16.62,3.757,8.00
268.515,37.52158229,127.01283230,16.59,3.848,8.00
269.515,37.52160680,127.01285960,16.40,3.736,8.00
270.515,37.52163112,127.01288510,16.51,3.522,8.00
271.515,37.52165771,127.01291580,16.30,3.910,8.00
272.515,37.52168279,127.01294340,16.35,3.752,8.00
273.515,37.52171065,127.01297300,16.34,3.920,8.00
274.515,37.52173574,127.01300670,16.21,4.121,8.00
275.515,37.52176322,127.01303430,16.33,4.082,8.00
276.515,37.52178839,127.01306250,16.40,3.816,8.00
277.515,37.52181541,127.01309360,16.40,3.966,8.00
278.515,37.52184386,127.01312500,16.39,4.140,8.00
279.515,37.52187110,127.01315550,16.40,4.020,8.00
280.515,37.52189965,127.01318780,16.36,4.231,8.00
281.515,37.52192482,127.01322070,16.52,4.013,8.00
282.515,37.52195172,127.01325510,16.47,4.209,8.00
283.515,37.52198149,127.01329120,16.40,4.427,8.00
284.515,37.52200380,127.01332130,16.43,4.313,8.00
